,2009,2010,2011,2012,2013,2014,2015,2016,AggregateTravelTime,BldgArea,MedianHI,NumBike,NumWalk,NumWorkers_Transit,Salecount,Saleprice,TotalPopRace,TotalWhite,Tract,Under18,Year,pctC,pctM,pctR,TRACTCE,Shape_Area
78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10055838183381.71,36563.0,0.0,5.59,28.82,0.09565217391304348,615375.6613756614,4902,40.21,2200,2.39,2015,0.05428558635547912,0.27830798843086857,0.5787081942337291,2200,3.6201626693000006e-05
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10037452269244.63,42083.0,0.0,3.94,28.11,0.034782608695652174,1913409.0909090908,4976,40.01,2200,2.25,2016,0.05438502295580756,0.27880594024692595,0.577948334503392,2200,3.6201626693000006e-05
80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8442206798262.29,20995.0,0.0,2.76,18.32,0.05511811023622047,355125.0,4318,13.69,2300,6.92,2009,0.0062476472178140926,0.0,0.9288732209611004,2300,1.9414556397e-05
81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8442206798262.29,18702.0,0.0,2.65,20.41,0.02755905511811024,281632.7857142857,4043,13.01,2300,7.12,2010,0.0062476472178140926,0.0,0.9288732209611004,2300,1.9414556397e-05
82,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8442206798262.29,17035.0,0.0,3.03,19.43,0.1220472440944882,322155.89166666666,4025,10.06,2300,7.38,2011,0.0062476472178140926,0.0,0.9288732209611004,2300,1.9414556397e-05
83,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8442206798262.29,16371.0,0.0,2.49,19.44,0.1141732283464567,325162.7525252525,3693,8.61,2300,6.47,2012,0.0062476472178140926,0.0,0.9288732209611004,2300,1.9414556397e-05
84,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8442206798262.29,16795.0,0.18,2.24,17.65,0.09448818897637797,297536.0575396825,3892,7.91,2300,6.96,2013,0.0062476472178140926,0.0,0.9288732209611004,2300,1.9414556397e-05
85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8389462868446.91,20169.0,0.18,1.26,22.95,0.031496062992125984,26666.66666666667,4370,7.85,2300,6.41,2014,0.0,0.0,0.9347129778969128,2300,1.9414556397e-05
86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8221908177343.97,19066.0,0.14,1.29,21.12,0.07480314960629922,5437288.158333333,4342,7.53,2300,6.89,2015,0.0,0.0,0.9333824903038188,2300,1.9414556397e-05
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8834912139764.61,18125.0,0.11,0.93,19.8,0.031496062992125984,158333.33333333337,4389,7.75,2300,6.95,2016,0.0,0.0,0.8686204240875576,2300,1.9414556397e-05
88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7672142407321.2,59554.0,0.0,2.17,22.98,0.125,262923.672275641,1893,67.78,3000,0.71,2009,0.0,0.0,1.0,3000,1.1729943896e-05
89,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7672142407321.2,58864.0,0.0,2.14,23.44,0.13194444444444445,1299523.7142857143,1873,70.05,3000,0.67,2010,0.0,0.0,1.0,3000,1.1729943896e-05
90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7672142407321.2,56042.0,0.0,2.02,22.35,0.09027777777777778,1264833.333333333,1884,78.66,3000,0.7,2011,0.0,0.0,1.0,3000,1.1729943896e-05
91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7672142407321.2,61125.0,0.0,2.36,24.74,0.13194444444444445,1988628.5714285718,1819,74.99,3000,0.55,2012,0.0,0.0,1.0,3000,1.1729943896e-05
92,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7672142407321.2,56942.0,0.0,1.24,21.84,0.1388888888888889,4320928.571428572,1932,72.93,3000,0.69,2013,0.0,0.0,1.0,3000,1.1729943896e-05
93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1955.08,7675552483307.46,65699.0,0.0,1.98,23.8,0.0625,593005.6222222223,1870,77.43,3000,0.67,2014,0.0,0.0,1.0,3000,1.1729943896e-05
94,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1870.99,7672142407321.2,68958.0,0.22,3.69,20.21,0.0763888888888889,11092450.0,1841,68.88,3000,0.67,2015,0.0,0.0,1.0,3000,1.1729943896e-05
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7538851062208.01,75208.0,0.33,4.58,19.98,0.05555555555555555,812002.222222222,1792,65.57,3000,0.61,2016,0.0,0.0,1.0,3000,1.1729943896e-05
96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8531273657267.93,65446.0,0.0,15.73,16.62,0.06,1778878.0,2791,25.94,3100,0.26,2009,0.0,0.0,0.9993005693174132,3100,3.0584706397e-05
97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7801742377471.55,63286.0,0.0,15.58,15.51,0.06,609931.8181818182,2715,23.02,3100,0.21,2010,0.0,0.0,1.0,3100,3.0584706397e-05
98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1021.04,7801742377471.55,64458.0,0.0,10.33,16.87,0.056,613705.6875,2662,19.95,3100,0.3,2011,0.0,0.0,1.0,3100,3.0584706397e-05
99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1026.35,7841428879092.47,64713.0,0.44,10.21,19.01,0.052000000000000005,456685.7303921568,2751,22.72,3100,0.29,2012,0.0,0.0,1.0,3100,3.0584706397e-05
100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,971.24,8942714585837.19,64668.0,0.34,11.09,18.8,0.096,621161.5789473684,2660,23.98,3100,0.24,2013,0.0,0.0,0.9993327490774572,3100,3.0584706397e-05
101,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,972.13,8942714585837.19,71797.0,1.49,10.05,19.09,0.044,390008.5531798246,2745,29.76,3100,0.24,2014,0.0,0.0,0.9993327490774572,3100,3.0584706397e-05
102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1035.42,9556027650102.54,69609.0,1.8,10.4,21.82,0.128,776486.9791666665,2837,28.45,3100,0.32,2015,0.0,0.0,1.0,3100,3.0584706397e-05
